site	device	port	iftype	netbox_description	far_device	far_port	far_role	class	mbps	expected	len	note
CH-STA-L50	CH-STA-L50-L02-ACCE01	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	1	Switch Dist	USW	1000	USW-1G-L02-D01_1	16	
CH-STA-L50	CH-STA-L50-L02-ACCE01	3	1000base-t	L02-ACPO03	CH-STA-L50-L02-ACPO03	mgmt0	Access Point	UP	1000	UP-L02-AP03	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	4	1000base-t	L02-ACPO04	CH-STA-L50-L02-ACPO04	mgmt0	Access Point	UP	1000	UP-L02-AP04	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	5	1000base-t	L02-ACPO05	CH-STA-L50-L02-ACPO05	mgmt0	Access Point	UP	1000	UP-L02-AP05	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	6	1000base-t	L02-ACPO06	CH-STA-L50-L02-ACPO06	mgmt0	Access Point	UP	1000	UP-L02-AP06	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	7	1000base-t	L02-ACPO07	CH-STA-L50-L02-ACPO07	mgmt0	Access Point	UP	1000	UP-L02-AP07	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	8	1000base-t	L02-ACPO08	CH-STA-L50-L02-ACPO08	mgmt0	Access Point	UP	1000	UP-L02-AP08	11	
CH-STA-L50	CH-STA-L50-L02-ACCE01	9	1000base-t	L02-ACPO09	CH-STA-L50-L02-ACPO09	mgmt0	Access Point	UP	1000	UP-L02-AP09	11	
CH-STA-L50	CH-STA-L50-L02-ACCE02	48	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	2	Switch Dist	USW	1000	USW-1G-L02-D01_2	16	
CH-STA-L50	CH-STA-L50-L02-ACCE03	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	3	Switch Dist	USW	1000	USW-1G-L02-D01_3	16	
CH-STA-L50	CH-STA-L50-L02-ACCE04	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	4	Switch Dist	USW	1000	USW-1G-L02-D01_4	16	
CH-STA-L50	CH-STA-L50-L02-ACCE05	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	5	Switch Dist	USW	1000	USW-1G-L02-D01_5	16	
CH-STA-L50	CH-STA-L50-L02-ACCE06	48	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	6	Switch Dist	USW	1000	USW-1G-L02-D01_6	16	
CH-STA-L50	CH-STA-L50-L02-ACCE07	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	7	Switch Dist	USW	1000	USW-1G-L02-D01_7	16	
CH-STA-L50	CH-STA-L50-L02-ACCE08	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	8	Switch Dist	USW	1000	USW-1G-L02-D01_8	16	
CH-STA-L50	CH-STA-L50-L02-ACCE09	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	9	Switch Dist	USW	1000	USW-1G-L02-D01_9	16	
CH-STA-L50	CH-STA-L50-L02-ACCE10	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	10	Switch Dist	USW	1000	USW-1G-L02-D01_10	17	
CH-STA-L50	CH-STA-L50-L02-ACCE11	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	11	Switch Dist	USW	1000	USW-1G-L02-D01_11	17	
CH-STA-L50	CH-STA-L50-L02-ACCE12	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	12	Switch Dist	USW	1000	USW-1G-L02-D01_12	17	
CH-STA-L50	CH-STA-L50-L02-ACCE13	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	13	Switch Dist	USW	1000	USW-1G-L02-D01_13	17	
CH-STA-L50	CH-STA-L50-L02-ACCE14	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	14	Switch Dist	USW	1000	USW-1G-L02-D01_14	17	
CH-STA-L50	CH-STA-L50-L02-ACCE15	48	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	15	Switch Dist	USW	1000	USW-1G-L02-D01_15	17	
CH-STA-L50	CH-STA-L50-L02-ACCE16	48	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	16	Switch Dist	USW	1000	USW-1G-L02-D01_16	17	
CH-STA-L50	CH-STA-L50-L02-ACCE17	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	17	Switch Dist	USW	1000	USW-1G-L02-D01_17	17	
CH-STA-L50	CH-STA-L50-L02-ACCE18	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	18	Switch Dist	USW	1000	USW-1G-L02-D01_18	17	
CH-STA-L50	CH-STA-L50-L02-ACCE19	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	19	Switch Dist	USW	1000	USW-1G-L02-D01_19	17	
CH-STA-L50	CH-STA-L50-L02-ACCE20	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	20	Switch Dist	USW	1000	USW-1G-L02-D01_20	17	
CH-STA-L50	CH-STA-L50-L02-ACCE21	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	21	Switch Dist	USW	1000	USW-1G-L02-D01_21	17	
CH-STA-L50	CH-STA-L50-L02-ACCE22	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	22	Switch Dist	USW	1000	USW-1G-L02-D01_22	17	
CH-STA-L50	CH-STA-L50-L02-ACCE23	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	23	Switch Dist	USW	1000	USW-1G-L02-D01_23	17	
CH-STA-L50	CH-STA-L50-L02-ACCE24	24	1000base-t	L02-DIST01	CH-STA-L50-L02-DIST01	24	Switch Dist	USW	1000	USW-1G-L02-D01_24	17	
CH-STA-L50	CH-STA-L50-L02-ACCE25	24	1000base-t	L02-DIST01_p25	CH-STA-L50-L02-DIST01	25	Switch Dist	USW	1000	USW-1G-L02-D01_25	17	
CH-STA-L50	CH-STA-L50-L02-ACCE26	24	1000base-t	L02-DIST01_p26	CH-STA-L50-L02-DIST01	26	Switch Dist	USW	1000	USW-1G-L02-D01_26	17	
CH-STA-L50	CH-STA-L50-L02-DIST01	1	1000base-t	L02-ACCE01_p24	CH-STA-L50-L02-ACCE01	24	Switch Access	USW	1000	USW-1G-L02-A01_24	17	
CH-STA-L50	CH-STA-L50-L02-DIST01	10	1000base-t	L02-ACCE10_p24	CH-STA-L50-L02-ACCE10	24	Switch Access	USW	1000	USW-1G-L02-A10_24	17	
CH-STA-L50	CH-STA-L50-L02-DIST01	11	1000base-t	L02-ACCE11_p24	CH-STA-L50-L02-ACCE11	24	Switch Access	USW	1000	USW-1G-L02-A11_24	17	
CH-STA-L50	CH-STA-L50-L02-DIST01	12	1000base-t	L02-ACCE12_p24	CH-STA-L50-L02-ACCE12	24	Switch Access	USW	1000	USW-1G-L02-A12_24	17	
CH-STA-L50	CH-STA-L50-L02-DIST01	13	1000base-t	L02-ACCE13_p24	CH-STA-L50-L02-ACCE13	24	Switch Access	USW	1000	USW-1G-L02-A13_24	17	
