canary_key	iftype	netbox_description	far_device	far_port	far_role	far_site	far_is_mgmt	link_mbps	class	expected_label	len	headroom	status
CH-STA-L26-GFL-ACCE13::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST01	13	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI01_P13	15	5	ok
CH-STA-L26-GFL-ACCE14::48	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	14	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P14	15	5	ok
CH-STA-L26-GFL-ACCE15::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	15	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P15	15	5	ok
CH-STA-L26-GFL-ACCE16::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	16	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P16	15	5	ok
CH-STA-L26-GFL-ACCE17::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	17	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P17	15	5	ok
CH-STA-L26-GFL-ACCE18::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	18	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P18	15	5	ok
CH-STA-L26-GFL-ACCE19::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	19	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI02_P19	15	5	ok
CH-STA-L26-GFL-ACCE20::24	1000base-t	GFL-DIST01_p20	CH-STA-L26-GFL-DIST01	20	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI01_P20	15	5	ok
CH-STA-L26-GFL-ACCE21::24	1000base-t		CH-STA-L26-GFL-DIST01	21	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI01_P21	15	5	ok
CH-STA-L26-GFL-ACCE22::24	1000base-t		CH-STA-L26-GFL-DIST01	22	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-DI01_P22	15	5	ok
CH-STA-L26-GFL-DIST01::1	1000base-t	GFL-ACCE01	CH-STA-L26-GFL-ACCE01	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC01_P24	15	5	ok
CH-STA-L26-GFL-DIST01::10	1000base-t	GFL-ACCE10	CH-STA-L26-GFL-ACCE10	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC10_P24	15	5	ok
CH-STA-L26-GFL-DIST01::13	1000base-t	GFL-ACCE13	CH-STA-L26-GFL-ACCE13	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC13_P24	15	5	ok
CH-STA-L26-GFL-DIST01::20	1000base-t	GFL-ACCE20-Lumip	CH-STA-L26-GFL-ACCE20	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC20_P24	15	5	ok
CH-STA-L26-GFL-DIST01::21	1000base-t	GFL-ACCE21-Lumip	CH-STA-L26-GFL-ACCE21	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC21_P24	15	5	ok
CH-STA-L26-GFL-DIST01::22	1000base-t	GFL-ACCE22	CH-STA-L26-GFL-ACCE22	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC22_P24	15	5	ok
CH-STA-L26-GFL-DIST01::29	10gbase-x-sfpp	L02-CORE_tg.3.5	CH-STA-L26-L02-CORE01	Jan 19	Switch Core	ch-sta-l26	FALSE	10000	USW	USW-CO01_P1.19	14	6	ok
CH-STA-L26-GFL-DIST01::30	10gbase-x-sfpp	L02-CORE_tg.7.5	CH-STA-L26-L02-CORE02	Jan 19	Switch Core	ch-sta-l26	FALSE	10000	USW	USW-CO02_P1.19	14	6	ok
CH-STA-L26-GFL-DIST01::5	1000base-t	GFL-ACCE05	CH-STA-L26-GFL-ACCE05	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC05_P24	15	5	ok
CH-STA-L26-GFL-DIST01::6	1000base-t	GFL-ACCE06	CH-STA-L26-GFL-ACCE06	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC06_P24	15	5	ok
CH-STA-L26-GFL-DIST01::9	1000base-t	GFL-ACCE09	CH-STA-L26-GFL-ACCE09	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC09_P24	15	5	ok
CH-STA-L26-GFL-DIST02::12	1000base-t	GFL-ACCE12	CH-STA-L26-GFL-ACCE12	48	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC12_P48	15	5	ok
CH-STA-L26-GFL-DIST02::13	1000base-t	GFL-ACCE13	CH-STA-L26-GFL-ACCE11	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC11_P24	15	5	ok
CH-STA-L26-GFL-DIST02::14	1000base-t	ACCE14_p48	CH-STA-L26-GFL-ACCE14	48	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC14_P48	15	5	ok
CH-STA-L26-GFL-DIST02::15	1000base-t	GFL-ACCE15	CH-STA-L26-GFL-ACCE15	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC15_P24	15	5	ok
CH-STA-L26-GFL-DIST02::16	1000base-t	GFL-ACCE16	CH-STA-L26-GFL-ACCE16	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC16_P24	15	5	ok
CH-STA-L26-GFL-DIST02::17	1000base-t	GFL-ACCE17	CH-STA-L26-GFL-ACCE17	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC17_P24	15	5	ok
CH-STA-L26-GFL-DIST02::18	1000base-t	GFL-ACCE18	CH-STA-L26-GFL-ACCE18	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC18_P24	15	5	ok
CH-STA-L26-GFL-DIST02::19	1000base-t	GFL-ACCE19	CH-STA-L26-GFL-ACCE19	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC19_P24	15	5	ok
CH-STA-L26-GFL-DIST02::2	1000base-t	GFL-ACCE02	CH-STA-L26-GFL-ACCE02	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC02_P24	15	5	ok
CH-STA-L26-GFL-DIST02::29	10gbase-x-sfpp	L02-CORE_tg.3.4	CH-STA-L26-L02-CORE01	Jan 20	Switch Core	ch-sta-l26	FALSE	10000	USW	USW-CO01_P1.20	14	6	ok
CH-STA-L26-GFL-DIST02::3	1000base-t	GFL-ACCE03	CH-STA-L26-GFL-ACCE03	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC03_P24	15	5	ok
CH-STA-L26-GFL-DIST02::30	10gbase-x-sfpp	L02-CORE_tg.7.4	CH-STA-L26-L02-CORE02	Jan 20	Switch Core	ch-sta-l26	FALSE	10000	USW	USW-CO02_P1.20	14	6	ok
CH-STA-L26-GFL-DIST02::4	1000base-t	GFL-ACCE04	CH-STA-L26-GFL-ACCE04	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC04_P24	15	5	ok
CH-STA-L26-GFL-DIST02::7	1000base-t	GFL-ACCE07	CH-STA-L26-GFL-ACCE07	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC07_P24	15	5	ok
CH-STA-L26-GFL-DIST02::8	1000base-t	GFL-ACCE08	CH-STA-L26-GFL-ACCE08	24	Switch Access	ch-sta-l26	FALSE	1000	USW	USW-1G-AC08_P24	15	5	ok
